RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
761,DAU22254,DAU22254,222,54,DAU22254 : Kings River - Tulare,Kings River,Tulare
764,DAU05835,DAU05835,58,35,DAU05835 : Bolsa Nueva - San Benito,Bolsa Nueva,San Benito
765,DAU28014,DAU28014,280,14,DAU28014 : Fish Lake - Inyo,Fish Lake,Inyo
767,DAU16804,DAU16804,168,4,DAU16804 : Yuba City-Gridley - Butte,Yuba City-Gridley,Butte
769,DAU35413,DAU35413,354,13,DAU35413 : Coyote Wells - Imperial,Coyote Wells,Imperial
772,DAU26831,DAU26831,268,31,DAU26831 : Truckee-Tahoe - Placer,Truckee-Tahoe,Placer
774,DAU21122,DAU21122,211,22,DAU21122 : Merced Stream Group - Mariposa,Merced Stream Group,Mariposa
775,DAU00247,DAU00247,2,47,DAU00247 : Butte Valley - Siskiyou,Butte Valley,Siskiyou
776,DAU27426,DAU27426,274,26,DAU27426 : Mono - Mono,Mono,Mono
777,DAU21224,DAU21224,212,24,DAU21224 : El Nido-Stevinson - Merced,El Nido-Stevinson,Merced
781,DAU06041,DAU06041,60,41,DAU06041 : Santa Cruz - San Mateo,Santa Cruz,San Mateo
783,DAU06243,DAU06243,62,43,DAU06243 : South Santa Clara Valley - Santa Clara,South Santa Clara Valley,Santa Clara
785,DAU17258,DAU17258,172,58,DAU17258 : Placer - Yuba,Placer,Yuba
788,DAU29214,DAU29214,292,14,DAU29214 : Owlshead - Inyo,Owlshead,Inyo
790,DAU20122,DAU20122,201,22,DAU20122 : Chowchilla  River - Mariposa,Chowchilla  River,Mariposa
792,DAU15658,DAU15658,156,58,DAU15658 : Yuba-Bear Rivers - Yuba,Yuba-Bear Rivers,Yuba
793,DAU15802,DAU15802,158,2,DAU15802 : American River - Alpine,American River,Alpine
794,DAU30736,DAU30736,307,36,DAU30736 : Pearblossom - San Bernardino,Pearblossom,San Bernardino
796,DAU02723,DAU02723,27,23,DAU02723 : Mattole-Bear - Mendocino,Mattole-Bear,Mendocino
797,DAU13952,DAU13952,139,52,DAU13952 : Stony-Elder Creek Group - Tehama,Stony-Elder Creek Group,Tehama
802,DAU16306,DAU16306,163,6,DAU16306 : Willows-Arbuckle - Colusa,Willows-Arbuckle,Colusa
804,DAU24510,DAU24510,245,10,DAU24510 : Kettleman Plain - Fresno,Kettleman Plain,Fresno
805,DAU23616,DAU23616,236,16,DAU23616 : Consolidated - Kings,Consolidated,Kings
810,DAU35037,DAU35037,350,37,DAU35037 : Clark - San Diego,Clark,San Diego
811,DAU28836,DAU28836,288,36,DAU28836 : Amargosa - San Bernardino,Amargosa,San Bernardino
